"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"19","MobilizingGroup..Wastepickers..recyclers (n = 68)",41,27,1.51851851851852,2.26714392362826,-1.94487229627059,0.0142452020169154,28.8274352426122,39.1725647573878,1.42225625189835,0.689257907089372
"15","MobilizingGroup..Recreational.users (n = 251)",123,128,0.9609375,1.60855369453947,-1.37989983122329,0.198864128978134,106.407150674936,144.592849325064,1.15593735214049,0.88524432983708
"10","MobilizingGroup..Local.government.political.parties (n = 1224)",584,640,0.9125,2.85813582486306,-2.45185544985547,0.0155766141097697,518.893834367019,705.106165632981,1.12547107196292,0.907664733615633
"12","MobilizingGroup..Neighbours.citizens.communities (n = 2413)",1137,1276,0.891065830721003,3.5658905824606,-3.0590037681688,6.19149239254108e-05,1022.95001824152,1390.04998175848,1.11149125541298,0.917952603679615
"11","MobilizingGroup..Local.scientists.professionals (n = 1388)",636,752,0.845744680851064,1.96151611749405,-1.68268909434616,0.400711157395017,588.41882524626,799.58117475374,1.08086276766184,0.940492377439484
"13","MobilizingGroup..Other (n = 867)",384,483,0.795031055900621,0.858051005893773,-0.73608014593058,0.693182560050081,367.549799343305,499.450200656695,1.04475638589951,0.967063381624303
"17","MobilizingGroup..Social.movements (n = 1341)",589,752,0.783244680851064,0.860039573399389,-0.737786041092606,0.361463063768416,568.493980299161,772.506019700839,1.03607077719635,0.973455197528713
"8","MobilizingGroup..Landless.peasants (n = 341)",148,193,0.766839378238342,0.286017538099722,-0.24536050856773,0.590429293343289,144.561109084276,196.438890915724,1.02378849289071,0.982493838670676
"9","MobilizingGroup..Local.ejos (n = 2376)",1029,1347,0.763919821826281,0.684853738082434,-0.587502649616648,0.00425900469573534,1007.26450200657,1368.73549799343,1.02157873919922,0.984120015864791
"20","MobilizingGroup..Women (n = 763)",321,442,0.726244343891403,-0.136823943454353,0.117374593786265,0.0787057911704052,323.460780736957,439.539219263043,0.992392336618521,1.005598546453
"5","MobilizingGroup..Industrial.workers (n = 296)",124,172,0.720930232558139,-0.13248829370556,0.113655251138945,0.300028665441816,125.484129879606,170.515870120394,0.98817276829325,1.00870376392859
"6","MobilizingGroup..Informal.workers (n = 234)",97,137,0.708029197080292,-0.220914294342787,0.18951160816904,0.299275591291246,99.2002918642831,134.799708135717,0.977819703723318,1.01632267528404
"2","MobilizingGroup..Ethnically.racially.discriminated.groups (n = 590)",228,362,0.629834254143646,-1.39867981184355,1.19985925421713,0.00087295914068073,250.120394016782,339.879605983218,0.911561014031915,1.06508302830584
"18","MobilizingGroup..Trade.unions (n = 391)",151,240,0.629166666666667,-1.14626043392724,0.98332097006372,0.00903899821261776,165.75775264502,225.24224735498,0.910967949254086,1.06551946989661
"16","MobilizingGroup..Religious.groups (n = 397)",152,245,0.620408163265306,-1.2565499842328,1.07793300096388,0.00551283223423433,168.301349872309,228.698650127691,0.903141894674777,1.0712787323546
"3","MobilizingGroup..Fisher.people (n = 710)",271,439,0.617312072892939,-1.72875165654098,1.48301180568974,5.64505410986139e-05,300.992338562568,409.007661437432,0.900355142905626,1.0733295275134
"4","MobilizingGroup..Indigenous.groups.or.traditional.communities (n = 1381)",504,877,0.574686431014823,-3.36629838567261,2.88778334848608,3.77109504293744e-16,585.451295147756,795.548704852244,0.860874344590527,1.10238379454453
"14","MobilizingGroup..Pastoralists (n = 226)",77,149,0.516778523489933,-1.92158230044489,1.64843181863737,0.000881352591862758,95.808828894564,130.191171105436,0.803683761595053,1.14447084802188
"7","MobilizingGroup..International.ejos (n = 1071)",349,722,0.483379501385042,-4.92922665296496,4.2285433489586,1.40173441400685e-22,454.032105071142,616.967894928858,0.768668109814207,1.17023917441158
"1","MobilizingGroup..Artisanal.miners (n = 118)",27,91,0.296703296703297,-3.25531270448758,2.79257414082623,1.54369450593481e-06,50.0240788033564,67.9759211966436,0.539740074097844,1.33870933115789
