"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"20","Wastepickers..recyclers (n = 63)",37,26,1.42307692307692,1.87099406529875,-1.63273861653448,0.05415482333386,27.2356891983486,35.7643108016514,1.35851161064958,0.726981714933522
"16","Recreational.users (n = 219)",108,111,0.972972972972973,1.36930187740273,-1.19493273356355,0.336957364451066,94.6764434037834,124.323556596217,1.14072726136736,0.892831600374099
"13","Neighbours.citizens.communities (n = 2146)",1034,1112,0.929856115107914,3.48855100870012,-3.04431320937703,0.000178047062373234,927.742682851685,1218.25731714831,1.11453317726172,0.912779249791792
"11","Local.government.political.parties (n = 1103)",521,582,0.895189003436426,2.02225233105115,-1.76473540698104,0.309370552965855,476.84071723458,626.15928276542,1.09260803695943,0.929475959263286
"9","Landless.peasants (n = 318)",148,170,0.870588235294118,0.897622658318221,-0.783317918797612,0.876220124569652,137.475383572617,180.524616427383,1.07655637070344,0.941699826673684
"12","Local.scientists.professionals (n = 1270)",589,681,0.864904552129222,1.70552582104072,-1.48834136951964,0.731030811367182,549.036909236552,720.963090763448,1.07278762154446,0.944569852083371
"14","Other (n = 801)",368,433,0.849884526558891,1.16707288694114,-1.0184559139769,0.999999999999994,346.28233409329,454.71766590671,1.06271664410365,0.952239229889155
"18","Social.movements (n = 1215)",542,673,0.805349182763744,0.730425055418533,-0.637411532503047,0.232953976897629,525.259720253867,689.740279746133,1.03187048064154,0.975729589473454
"6","Industrial.workers (n = 263)",116,147,0.789115646258503,0.215869766707718,-0.188380557043457,0.568463339452142,113.698194589932,149.301805410068,1.02024487212282,0.984582869552405
"10","Local.ejos (n = 2142)",941,1201,0.783513738551207,0.492485585538301,-0.429771664436887,0.000569380212302979,926.013432743854,1215.98656725615,1.01618396313295,0.98767538420267
"7","Informal.workers (n = 212)",93,119,0.781512605042017,0.140988813832562,-0.123035067354454,0.571525184648196,91.6502557150779,120.349744284922,1.01472711968331,0.988784818007369
"3","Farmers (n = 1385)",600,785,0.764331210191083,0.0509676900683425,-0.0444773809353887,0.00815734969819908,598.752849836712,786.247150163288,1.00208291311453,0.998413793725002
"21","Women (n = 705)",302,403,0.749379652605459,-0.159258680216806,0.138978419029232,0.0625378895920891,304.78033150533,400.21966849467,0.99087758881422,1.00694701366324
"19","Trade.unions (n = 349)",140,209,0.669856459330144,-0.88552408143141,0.772759994507749,0.0228198983340543,150.877071908312,198.122928091688,0.927907721360591,1.05490062161447
"4","Fisher.people (n = 632)",246,386,0.637305699481865,-1.64685315177134,1.43714017405462,7.83353420465969e-05,273.221517037402,358.778482962598,0.900368326284947,1.07587276921576
"2","Ethnically.racially.discriminated.groups (n = 534)",206,328,0.628048780487805,-1.63584554765458,1.42753429627537,0.000192542637466013,230.854889395527,303.145110604473,0.892335443010946,1.0819900718371
"5","Indigenous.groups.or.traditional.communities (n = 1234)",467,767,0.608865710560626,-2.87801524573127,2.51152407045723,1.41972879413428e-13,533.473658266067,700.526341733933,0.875394675564443,1.09489101880385
"17","Religious.groups (n = 373)",141,232,0.607758620689655,-1.5948758090834,1.39178171131791,0.000885024588485011,161.252572555302,211.747427444698,0.874404654546789,1.09564495210026
"15","Pastoralists (n = 198)",72,126,0.571428571428571,-1.46973727871465,1.28257852636991,0.00629686451394682,85.5978803376671,112.402119662333,0.841142324038561,1.12097530169819
"8","International.ejos (n = 958)",318,640,0.496875,-4.72489343587637,4.12321776687936,1.30870300748667e-21,414.155400825682,543.844599174318,0.767827726901589,1.17680675871686
"1","Artisanal.miners (n = 109)",27,82,0.329268292682927,-2.93130087742203,2.55802422253229,9.63127985009243e-06,47.1220654384127,61.8779345615873,0.572979977613424,1.32518967513994
