"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"8","Tourism Recreation (n = 63)",43,20,2.15,2.60845837617515,-2.40612793326613,0.000543505730783234,28.9621834922723,34.0378165077277,1.48469468855735,0.587581756175792
"9","Waste Management (n = 211)",132,79,1.67088607594937,3.55367216576814,-3.27802426974627,7.80960332535015e-07,97.0003288391976,113.999671160802,1.36082012895877,0.692984455091686
"4","Industrial and Utilities conflicts (n = 247)",150,97,1.54639175257732,3.42059705331722,-3.15527140229963,1.68141511145312e-06,113.550147977639,133.449852022361,1.32100224149016,0.726864799998029
"5","Infrastructure and Built Environment (n = 291)",174,117,1.48717948717949,3.4775627879409,-3.20781847246528,8.95536293841168e-07,133.777704702401,157.222295297599,1.30066516230845,0.744169265424701
"7","Nuclear (n = 126)",71,55,1.29090909090909,1.71803526809656,-1.58477232631368,0.021674163810246,57.9243669845446,68.0756330154554,1.22573631264618,0.807924914741713
"10","Water Management (n = 380)",170,210,0.80952380952381,-0.355034354437734,0.32749538397249,0.644559530632987,174.692535350214,205.307464649786,0.973138317897749,1.0228561360797
"3","Fossil Fuels and Climate Justice/Energy (n = 671)",292,379,0.770448548812665,-0.937763431679792,0.865023880913461,0.161127128141901,308.470240052614,362.529759947386,0.946606713017745,1.04543141521679
"1","Biodiversity conservation conflicts (n = 55)",23,32,0.71875,-0.454311947819096,0.419072306481256,0.626099018383349,25.284445905952,29.715554094048,0.909650149564313,1.07687710950036
"2","Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management) (n = 381)",148,233,0.63519313304721,-2.05162508728147,1.89248656454928,0.0033958612030809,175.152252548504,205.847747451496,0.844979141555803,1.13190454053864
"6","Mineral Ores and Building Materials Extraction (n = 616)",195,421,0.463182897862233,-5.24038142449917,4.83390045308883,2.04736653302783e-15,283.185794146662,332.814205853338,0.688593863218327,1.26497004213072
