"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"26","Product..Fertilizers (n = 1)",1,0,Inf,0.845983511753176,-0.748805324079439,0.918695276081889,0.439290586630286,0.560709413369713,2.27639751552795,0
"60","Product..Timber (n = 2)",52,2,26,5.80604766537618,-5.13910654674927,5.78719484453325e-14,23.7216916780355,30.2783083219645,2.19208649643432,0.0660538884383167
"62","Product..Tourism.services (n = 22)",105,15,7,7.20131183429553,-6.37409661885944,3.2698500364856e-21,52.7148703956344,67.2851296043656,1.99184782608696,0.222931873479319
"64","Product..Water (n = 119)",328,67,4.8955223880597,11.7273092610875,-10.3801923912561,1.15454451396857e-58,173.519781718963,221.480218281037,1.89027439264093,0.302510086544088
"21","Product..E.waste (n = 28)",19,9,2.11111111111111,1.91034143380308,-1.69090037402366,0.0238775950716734,12.300136425648,15.699863574352,1.54469831410825,0.57325338894682
"3","Product..Asphalt (n = 21)",14,7,2,1.57209386832664,-1.39150733105433,0.07355502755071,9.22510231923602,11.774897680764,1.5175983436853,0.59448499594485
"38","Product..Manganese (n = 3)",2,1,2,0.594195630463116,-0.525940335070424,0.859621982237722,1.31787175989086,1.68212824010914,1.5175983436853,0.59448499594485
"20","Product..Domestic.municipal.waste (n = 187)",121,66,1.83333333333333,4.28670906314871,-3.79429448053104,3.3986300359868e-08,82.1473396998636,104.852660300136,1.47296309828279,0.629454701588665
"10","Product..Chemical.products (n = 197)",120,77,1.55844155844156,3.59677845149284,-3.18361624853727,4.75200769762427e-06,86.5402455661664,110.459754433834,1.38663808052464,0.697086467326195
"11","Product..Coal (n = 339)",206,133,1.54887218045113,4.67747961628028,-4.14017719173423,9.09908270872039e-10,148.919508867667,190.080491132333,1.38329760530607,0.699703579297921
"51","Product..Recycled.Metals (n = 60)",36,24,1.5,1.87819635108285,-1.66244779929912,0.0252244968415882,26.3574351978172,33.6425648021828,1.36583850931677,0.71338199513382
"5","Product..Biological.resources (n = 95)",56,39,1.43589743589744,2.20854835161252,-1.95485224144277,0.00730188941080078,41.7326057298772,53.2673942701228,1.34187643020595,0.732155205532078
"31","Product..Industrial.waste (n = 213)",123,90,1.36666666666667,3.04257168007795,-2.69307124936071,0.000135947699551072,93.568894952251,119.431105047749,1.3145394103753,0.753572530070937
"9","Product..Charcoal (n = 19)",10,9,1.11111111111111,0.572329189702664,-0.506585693954356,0.6555019571337,8.34652114597544,10.6534788540246,1.19810395554103,0.844794467921629
"39","Product..Manufactured.Products (n = 62)",32,30,1.06666666666667,0.912847997340779,-0.807989081332663,0.347248730225828,27.2360163710778,34.7639836289222,1.1749148467241,0.862962090887685
"12","Product..Cobalt (n = 2)",1,1,1,0.129537373080313,-0.114657405590315,0.999999999999998,0.878581173260573,1.12141882673943,1.13819875776398,0.891727493917275
"35","Product..Lead (n = 78)",39,39,1,0.80896063560434,-0.716035268413069,0.425567569921192,34.2646657571623,43.7353342428377,1.13819875776398,0.891727493917275
"41","Product..Molybdenum (n = 2)",1,1,1,0.129537373080313,-0.114657405590315,0.999999999999998,0.878581173260573,1.12141882673943,1.13819875776398,0.891727493917275
"54","Product..Sand..gravel (n = 90)",45,45,1,0.868963115502992,-0.769145259071125,0.382130510815198,39.5361527967258,50.4638472032742,1.13819875776398,0.891727493917275
"55","Product..Shrimps (n = 18)",9,9,1,0.388612119240938,-0.343972216770944,0.844132828685829,7.90723055934516,10.0927694406548,1.13819875776398,0.891727493917275
"65","Product..Wheat (n = 2)",2,2,1,0.183193509844362,-0.162150058012336,0.999999999999958,1.75716234652115,2.24283765347885,1.13819875776398,0.891727493917275
"34","Product..Land (n = 1038)",507,531,0.954802259887006,2.38910335205654,-2.11466687582195,0.00259808773991724,455.983628922237,582.016371077763,1.11188202348041,0.912345470655247
"8","Product..Cement (n = 74)",36,38,0.947368421052632,0.612553720883766,-0.54218963030601,0.593843645270148,32.5075034106412,41.4924965893588,1.10743662917576,0.91582823699612
"22","Product..Ecosystem.Services (n = 73)",35,38,0.921052631578947,0.517720142766841,-0.458249592221467,0.684875033719417,32.0682128240109,40.9317871759891,1.09142346634902,0.928373829283738
"40","Product..Meat (n = 30)",14,16,0.875,0.226232992785175,-0.200245592409831,0.993227686858047,13.1787175989086,16.8212824010914,1.06231884057971,0.95117599351176
"2","Product..Asbestos (n = 24)",11,13,0.846153846153846,0.140753519483381,-0.12458515243832,0.999999999999973,10.5429740791269,13.4570259208731,1.04334886128364,0.966038118410381
"23","Product..Electricity (n = 692)",315,377,0.835543766578249,0.631530568492021,-0.558986606045948,0.755740242769498,303.989085948158,388.010914051842,1.03622141241518,0.971622153776915
