"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"11","Hunger.strikes.and.self.immolation (n = 130)",70,60,1.16666666666667,1.57084898467169,-1.41061175966806,0.0798848133139698,58.0333333333333,71.9666666666667,1.20620333141872,0.833719314497453
"6","Boycotts.of.official.procedures.non.participation.in.official.processes (n = 188)",97,91,1.06593406593407,1.42722167427397,-1.28163540673184,0.128032069000521,83.9251282051282,104.074871794872,1.15579209796278,0.874370522207878
"13","Land.occupation (n = 352)",176,176,1,1.50482476141116,-1.35132245390853,0.119752715485342,157.13641025641,194.86358974359,1.1200459506031,0.903195924038907
"14","Lawsuits..court.cases..judicial.activism (n = 1445)",692,753,0.918990703851262,1.84805964272472,-1.65954505495656,0.0474255177447392,645.062820512821,799.937179487179,1.07276373400325,0.941323918064079
"27","Strikes (n = 299)",142,157,0.904458598726115,0.737745887256993,-0.662490815072821,0.621123763770217,133.476666666667,165.523333333333,1.063856354419,0.948506756348551
"17","Occupation.of.buildings.public.spaces (n = 422)",200,222,0.900900900900901,0.846235251836506,-0.759913530412171,0.56271466968617,188.385128205128,233.614871794872,1.06165492948161,0.950281967472215
"4","Blockades (n = 838)",397,441,0.900226757369615,1.18440974482766,-1.06359193698593,0.359279984065105,374.091794871795,463.908205128205,1.0612368553447,0.95061909904811
"10","Development.of.alternative.proposals (n = 680)",322,358,0.899441340782123,1.05843339336309,-0.95046602574301,0.437429854015163,303.558974358974,376.441025641026,1.06074940027706,0.951012178840967
"23","Refusal.of.compensation (n = 169)",80,89,0.898876404494382,0.52461031495991,-0.471096513252851,0.774019393399383,75.4433333333333,93.5566666666667,1.06039853311536,0.951295115259914
"26","Street.protest.marches (n = 1768)",832,936,0.888888888888889,1.52157737610671,-1.36636618855477,0.167367996555881,789.253333333333,978.746666666667,1.05416089468527,0.956325096041196
"20","Property.damage.arson (n = 202)",95,107,0.88785046728972,0.508119767154075,-0.456288112900387,0.810944182957036,90.1748717948718,111.825128205128,1.05350856739896,0.956851127447159
"18","Official.complaint.letters.and.petitions (n = 1804)",842,962,0.875259875259875,1.29239539206983,-1.16056231756456,0.367344362337276,805.324102564103,998.675897435897,1.04554178537451,0.963275475527082
"24","Sabotage (n = 105)",49,56,0.875,0.310663371929767,-0.278973606004432,0.963489482118391,46.8730769230769,58.1269230769231,1.04537622056289,0.963408985641501
"15","Media.based.activism.alternative.media (n = 1463)",661,802,0.824189526184539,0.309197879069095,-0.277657603331262,0.420304409131686,653.098205128205,809.901794871795,1.01209893827567,0.990243514804106
"21","Public.campaigns (n = 1675)",754,921,0.818675352877307,0.229031637222192,-0.20566886056789,0.256055805513876,747.737179487179,927.262820512821,1.0083756976176,0.993245905719204
"3","Artistic.and.creative.actions..eg.guerilla.theatre..murals. (n = 360)",161,199,0.809045226130653,0.0230580147085163,-0.020705941194742,0.652483496000761,160.707692307692,199.292307692308,1.00181887803944,0.998533271576347
"19","Other (n = 550)",243,307,0.791530944625407,-0.161184470420834,0.144742563842965,0.37704125699454,245.525641025641,304.474358974359,0.989713330896559,1.00829508610889
"16","Objections.to.the.EIA (n = 890)",388,502,0.772908366533865,-0.466831632126275,0.419211647006277,0.0986808157585961,397.305128205128,492.694871794872,0.97657939063821,1.01888618846636
"7","Community.based.participative.research..popular.epidemiology.studies..etc... (n = 573)",249,324,0.768518518518518,-0.424738999230728,0.381412747470267,0.195311977927567,255.793076923077,317.206923076923,0.973443077487512,1.0214152858241
"9","Development.of.a.network.collective.action (n = 1565)",673,892,0.754484304932735,-0.969748486161214,0.870827579129262,0.000820283842706703,698.632051282051,866.367948717949,0.963311085950016,1.02958564120473
"22","Referendum.other.local.consultations (n = 213)",91,122,0.745901639344262,-0.418963380729134,0.376226281134416,0.360058153337227,95.0853846153846,117.914615384615,0.95703456812096,1.0346469740164
"8","Creation.of.alternative.reports.knowledge (n = 1149)",476,673,0.707280832095097,-1.63041413277838,1.46410085964239,0.00010400842385607,512.925384615385,636.074615384615,0.92801022190962,1.05805197019701
"2","Arguments.for.the.rights.of.mother.nature (n = 457)",188,269,0.698884758364312,-1.12086223966253,1.00652670731827,0.0279173287183328,204.009487179487,252.990512820513,0.921525771174543,1.06328097840904
"28","Threats.to.use.arms (n = 87)",35,52,0.673076923076923,-0.6158053296185,0.552989019379017,0.326496540782037,38.8376923076923,48.1623076923077,0.901186397036978,1.07968248390858
"1","Appeals.recourse.to.economic.valuation.of.the.environment (n = 414)",162,252,0.642857142857143,-1.67815184959793,1.50696900634678,0.00315664477787497,184.813846153846,229.186153846154,0.876557700471993,1.09954286404737
"12","Involvement.of.national.and.international.NGOs (n = 1505)",570,935,0.609625668449198,-3.92929619521426,3.52848139717685,1.01771437166563e-18,671.847435897436,833.152564102564,0.848406899460157,1.12224344050017
"5","Boycotts.of.companies.products (n = 93)",34,59,0.576271186440678,-1.16650634299341,1.0475148032755,0.0811246296703788,41.5161538461538,51.4838461538462,0.818958329473236,1.14599052727517
"25","Shareholder.financial.activism. (n = 104)",26,78,0.333333333333333,-2.99787658593662,2.6920728901509,1.98499569638755e-05,46.4266666666667,57.5733333333333,0.560022975301551,1.35479388605836
