"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"9","ConflictEvent..Environmental.improvements..rehabilitation.restoration.of.area (n = 410)",244,166,1.46987951807229,4.42173254642583,-3.99011370692418,3.35439903944607e-10,184.017800381437,225.982199618563,1.32595868168313,0.73457113117844
"23","ConflictEvent..Technical.solutions.to.improve.resource.supply.quality.distribution (n = 280)",154,126,1.22222222222222,2.52707974486454,-2.28040376087989,0.000507956574669183,125.67069294342,154.32930705658,1.22542492917847,0.81643598615917
"19","ConflictEvent..Project.cancelled (n = 401)",211,190,1.11052631578947,2.31235348512314,-2.08663758817836,0.00117091138569932,179.978385251113,221.021614748887,1.17236300184383,0.859644429871112
"16","ConflictEvent..New.Environmental.Impact.Assessment.Study (n = 497)",252,245,1.02857142857143,1.93731436607105,-1.74820718474473,0.00585095972308881,223.065479974571,273.934520025429,1.12971312293022,0.89437431973618
"6","ConflictEvent..Court.decision..victory.for.environmental.justice. (n = 594)",298,296,1.00675675675676,1.92299914805532,-1.73528931894835,0.00535980373588021,266.601398601399,327.398601398601,1.11777358094639,0.904096714938699
"15","ConflictEvent..Negotiated.alternative.solution (n = 300)",150,150,1,1.32309124561957,-1.19394026192864,0.0733154941627229,134.647171010807,165.352828989193,1.11402266288952,0.907151095732411
"4","ConflictEvent..Court.decision..failure.for.environmental.justice. (n = 406)",201,205,0.980487804878049,1.39103050593764,-1.25524776322755,0.0540850269509209,182.222504767959,223.777495232041,1.10304707015169,0.916088544951449
"2","ConflictEvent..Compensation (n = 723)",346,377,0.917771883289125,1.1935421006204,-1.07703680525093,0.0809074912072083,324.499682136046,398.500317863954,1.06625682257199,0.946046924180135
"24","ConflictEvent..Under.negotiation (n = 686)",326,360,0.905555555555556,1.03190974169911,-0.931181875301439,0.13643137517962,307.89319771138,378.10680228862,1.05880871166759,0.952111937211859
"17","ConflictEvent..New.legislation (n = 368)",168,200,0.84,0.220421808325523,-0.198905761366234,0.808587822228743,165.167196439924,202.832803560076,1.01715112698608,0.986033799709142
"20","ConflictEvent..Project.temporarily.suspended (n = 505)",229,276,0.829710144927536,0.1556900064769,-0.140492628704272,0.873818814459539,226.656071201526,278.343928798474,1.01034134574931,0.991579019493645
"11","ConflictEvent..Institutional.changes (n = 266)",119,147,0.80952380952381,-0.0354331499785552,0.031974411822626,0.999999999999992,119.387158296249,146.612841703751,0.996757119427464,1.00264068475687
"22","ConflictEvent..Strengthening.of.participation (n = 997)",441,556,0.793165467625899,-0.306208520585547,0.276318570229443,0.628447161060006,447.47743165925,549.52256834075,0.985524562355622,1.01178738059623
"5","ConflictEvent..Court.decision..undecided. (n = 456)",201,255,0.788235294117647,-0.256094048863539,0.231095925387458,0.734586023332494,204.663699936427,251.336300063573,0.982098926494707,1.01457688338493
"1","ConflictEvent..Application.of.existing.regulations (n = 689)",292,397,0.73551637279597,-0.980350407296658,0.884655405244944,0.144124234930317,309.239669421488,379.760330578512,0.944251429793148,1.04539618289047
"25","ConflictEvent..Violent.targeting.of.activists (n = 596)",251,345,0.727536231884058,-1.00878293061436,0.91031254298931,0.140637207900985,267.499046408137,328.500953591863,0.93832110196399,1.05022526183786
"7","ConflictEvent..Criminalization.of.activists (n = 709)",298,411,0.725060827250608,-1.13328017248893,1.02265722825969,0.0893875523373443,318.216147488875,390.783852511125,0.936470390806986,1.05173229998878
"26","ConflictEvent..Withdrawal.of.company.investment (n = 237)",99,138,0.717391304347826,-0.714710015591891,0.644944984742315,0.345394701841669,106.371265098538,130.628734901462,0.930702477857066,1.05642912414407
"10","ConflictEvent..Fostering.a.culture.of.peace (n = 58)",24,34,0.705882352941177,-0.398222745311639,0.359351005017554,0.678746524974472,26.0317863954228,31.9682136045772,0.921949789977532,1.06355645706558
"18","ConflictEvent..Other (n = 709)",292,417,0.700239808153477,-1.46962917462574,1.3261741754394,0.0272388317373475,318.216147488875,390.783852511125,0.917615282267248,1.06708605619299
"21","ConflictEvent..Repression (n = 771)",314,457,0.687089715536105,-1.72254708522665,1.55440399513554,0.00867774522111628,346.043229497775,424.956770502225,0.907401079500152,1.0754035038903
"12","ConflictEvent..Land.demarcation (n = 186)",75,111,0.675675675675676,-0.92825051793709,0.837641145454202,0.22181292918489,83.4812460267006,102.518753973299,0.898405373297999,1.08272872716449
"3","ConflictEvent..Corruption (n = 611)",243,368,0.660326086956522,-1.88596195361201,1.70186743834779,0.00538299033002492,274.231404958678,336.768595041322,0.886112952805738,1.09273847210975
"14","ConflictEvent..Moratoria (n = 100)",39,61,0.639344262295082,-0.878043132217855,0.792334656234477,0.268405522839014,44.8823903369358,55.1176096630642,0.868937677053824,1.10672433679354
"8","ConflictEvent..Deaths (n = 377)",142,235,0.604255319148936,-2.09153815633259,1.88737671908343,0.00317627466850214,169.206611570248,207.793388429752,0.8392107062616,1.13093107425526
"13","ConflictEvent..Migration.displacement (n = 652)",239,413,0.578692493946731,-3.13524729011471,2.82920621171347,2.88953016547152e-06,292.633184996821,359.366815003179,0.816722136290168,1.14924356606591
