"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"num.49","Water treatment and access to sanitation (access to sewage) (n = 98)",68,30,2.26666666666667,3.85779657665425,-3.39488277053987,3.74512026052709e-06,42.7703724446934,55.2296275553066,1.58988561738459,0.543186715680061
"num.46","Urban development conflicts (n = 191)",127,64,1.984375,4.77995360377085,-4.20638616137068,6.51160723667383e-09,83.3585830299636,107.641416970036,1.5235383734192,0.594566680758349
"num.7","Coal extraction and processing (n = 175)",114,61,1.86885245901639,4.30518014961576,-3.78858284090149,2.42132418492265e-07,76.3756650798096,98.6243349201904,1.492622026674,0.618508606921029
"num.30","Nuclear waste storage (n = 37)",24,13,1.84615384615385,1.95398432112171,-1.71951723577769,0.0312279367941776,16.1479977597312,20.8520022402688,1.4862523736441,0.623441329528286
"num.23","Manufacturing activities (n = 92)",58,34,1.70588235294118,2.81671276583241,-2.47872313852727,0.00123680984637521,40.1517782133856,51.8482217866144,1.44451883778996,0.655760194436943
"num.43","Tourism facilities (ski resorts, hotels, marinas) (n = 98)",61,37,1.64864864864865,2.78744482542914,-2.45296718571069,0.00145862089476901,42.7703724446934,55.2296275553066,1.42622092147735,0.669930282672075
"num.5","Chemical industries (n = 137)",85,52,1.63461538461538,3.26011416543586,-2.86891887384841,0.000160043191951327,59.7912349481938,77.2087650518062,1.42161305204096,0.673498662556105
"num.14","Geothermal energy installations (n = 5)",3,2,1.5,0.553635436262437,-0.487202310018567,0.856456700053105,2.18216185942313,2.81783814057687,1.37478344562079,0.709763975155279
"num.4","Building materials extraction (quarries, sand, gravel) (n = 89)",53,36,1.47222222222222,2.27160945999096,-1.99902915145592,0.012386779299357,38.8424810977317,50.1575189022683,1.36448544228281,0.71773885128062
"num.21","Landfills, toxic waste treatment, uncontrolled dump sites (n = 273)",162,111,1.45945945945946,3.92600802745715,-3.45490923240301,4.60512913667025e-06,119.146037524503,153.853962475497,1.35967593522935,0.721463381339158
"num.11","E-waste and other waste import zones (n = 14)",8,6,1.33333333333333,0.764587303352549,-0.672841144199539,0.567401391932912,6.11005320638477,7.88994679361523,1.30931756725789,0.760461401952085
"num.29","Nuclear power plants (n = 79)",45,34,1.32352941176471,1.79192479040197,-1.57690393367368,0.0612555518314554,34.4781573788855,44.5218426211145,1.30517415723493,0.763670099850617
