"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"6","SecImpact..Loss.of.landscape.sense.of.place (n = 1191)",536,655,0.818320610687023,3.21909330694964,-2.58297554253196,0.973223814565916,466.47399371388,724.52600628612,1.14904583583016,0.904039322698013
"7","SecImpact..Loss.of.livelihood (n = 1300)",547,753,0.726427622841965,1.67670902300149,-1.34537833650414,0.00952526984364652,509.165568285511,790.834431714488,1.07430673649416,0.952158846153846
"5","SecImpact..Land.dispossession (n = 1088)",456,632,0.721518987341772,1.44686441874544,-1.16095280584473,0.0169982887222638,426.132414072797,661.867585927203,1.0700899179242,0.954873774509804
"10","SecImpact..Other.socio.economic.impacts (n = 305)",125,180,0.694444444444444,0.507052393429883,-0.406854914141254,0.164626257155867,119.458075636216,185.541924363784,1.04639221194773,0.970131147540984
"1","SecImpact..Displacement (n = 1001)",396,605,0.654545454545455,0.199112348081737,-0.159766206279551,5.67378942609901e-05,392.057487579844,608.942512420156,1.01005595491746,0.993525641025641
"2","SecImpact..Increase.in.Corruption.Co.optation.of.different.actors (n = 778)",307,471,0.651804670912951,0.130841854170409,-0.104986490615877,0.00056219491721395,304.716009327791,473.283990672209,1.00749547316942,0.995174164524422
"8","SecImpact..Loss.of.traditional.knowledge.practices.cultures (n = 809)",305,504,0.60515873015873,-0.666141547561378,0.534506819513681,2.69245777316654e-06,316.857649802291,492.142350197709,0.962577359865889,1.02409394313968
"13","SecImpact..Violations.of.human.rights (n = 1098)",410,688,0.595930232558139,-0.966796955684481,0.775750390874405,1.01415315526483e-09,430.049072290378,667.950927709622,0.953379570885714,1.03001578627808
"4","SecImpact..Lack.of.work.security..labour.absenteeism..firings..unemployment (n = 573)",208,365,0.56986301369863,-1.09637071985219,0.879719375891542,6.59181064888426e-06,224.424515867383,348.575484132617,0.926814965807529,1.04711896451425
"9","SecImpact..Militarization.and.increased.police.presence (n = 670)",235,435,0.540229885057471,-1.69242895084452,1.35799188487854,1.35844163624353e-08,262.416100577917,407.583899422083,0.895524319896763,1.06726492537313
"11","SecImpact..Social.problems..alcoholism..prostitution..etc... (n = 181)",59,122,0.483606557377049,-1.4123424641127,1.13325265676727,0.000808207626333499,70.8915137382135,110.108486261786,0.832257584707159,1.10799815837937
"12","SecImpact..Specific.impacts.on.women (n = 433)",141,292,0.482876712328767,-2.19549336650759,1.76164687654051,4.1425009164289e-08,169.591300821251,263.408699178749,0.831410569511544,1.10854349499615
"3","SecImpact..Increase.in.violence.and.crime (n = 436)",138,298,0.463087248322148,-2.50741545481915,2.01193074484121,3.2789254775053e-09,170.766298286525,265.233701713475,0.80812198533725,1.1235374617737
