"","Countries","Companies","Company involvements"
"1","China","High Income",29
"2","China","China",276
"3","China","Middle Income",1
"4","China","Low Income",3
"5","High Income","High Income",2226
"6","High Income","China",24
"7","High Income","Middle Income",53
"8","High Income","Low Income",22
"9","Low Income","High Income",1218
"10","Low Income","China",310
"11","Low Income","Middle Income",181
"12","Low Income","Low Income",1887
"13","Middle Income","High Income",961
"14","Middle Income","China",97
"15","Middle Income","Middle Income",1544
"16","Middle Income","Low Income",19
